AuthorID,Author,Date,Content,Attachments,Reactions
"355636164897669122","SISPLAU#7555","10-Sep-21 12:10 PM","@🎬 Film masochist 
Empezamos con el cine con la maravillosa saga de ""Sharknado"".
Este viernes 10/9/2021 a las 21:00

Reaccionad a este mensaje para conseguir una entrada","","🎟️ (6)"
"355636164897669122","SISPLAU#7555","10-Sep-21 12:12 PM","Había un problema con las reacciones por eso lo he mandado de nuevo","",""
"458738156695584770","The_Siber#3448","10-Sep-21 08:55 PM","@🎬 Film masochist la película va a ser retrasada porque somos imbéciles. Debería empezar en 15 minutos","",""
"458738156695584770","The_Siber#3448","10-Sep-21 09:01 PM","I'd entrando en el VC nuevo de esta sección","",""
"664432205598031882","Dark Spirit#3670","16-Oct-21 01:05 PM","Hoy en la cartelera: Minecon live 2021","",""
